"","Products.Brand.Name","Inventory.Conversion.Inputs.Outputs.Output.Product","Strain.Name","Inventory.Conversions.Batch.Name","package_ID","Batch.Harvest.Date","Batch.Lab.Results.Lab.Result.URL","Products.Vendor.Name","Inventory.Producer.Name","Manufacturing.Date","Manufacture Date from Wholesale","Manufacture Date from Cult","Manufacture Date from Downtown"
"4653","ZENZONA","zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid","Hybrid","221227-001-BBC","33804","12/27/2022","https://lims.tagleaf.com/coas/ULkMC2TS05zhsxhW70prAA461Iums8GmTgJYrh2xNBOSoCgsDm","Forever 46, LLC - 00000057DCHF00477864","","",NA,NA,"1/31/2023"
"4654","ZENZONA","zenzona Vegan Gummies Pineberry 100mg RSO - Indica","Indica","221227-002-PB","37094","12/27/2022","https://lims.tagleaf.com/coas/UBKgTX2FX4Ei8EIADIAhFfISUuRyNFBdl1mGp96lIy2ECDfKrU","Forever 46, LLC - 00000057DCHF00477864","","","3/8/2023",NA,"3/8/2023"
"4655","ZENZONA","zenzona Vegan Gummies Pineberry 100mg RSO - Indica","Indica","221227-002-PB","37094","12/27/2022","https://lims.tagleaf.com/coas/UBKgTX2FX4Ei8EIADIAhFfISUuRyNFBdl1mGp96lIy2ECDfKrU","Forever 46, LLC - 00000057DCHF00477864","","","3/8/2023",NA,"3/8/2023"
"4656","ZENZONA","zenzona Vegan Gummies Pineberry 100mg RSO - Indica","Indica","221227-002-PB","37094","12/27/2022","https://lims.tagleaf.com/coas/UBKgTX2FX4Ei8EIADIAhFfISUuRyNFBdl1mGp96lIy2ECDfKrU","Forever 46, LLC - 00000057DCHF00477864","","","3/8/2023",NA,"3/8/2023"
"4657","ZENZONA","zenzona Vegan Gummies Pineberry 100mg RSO - Indica","Indica","221227-002-PB","37094","12/27/2022","https://lims.tagleaf.com/coas/UBKgTX2FX4Ei8EIADIAhFfISUuRyNFBdl1mGp96lIy2ECDfKrU","Forever 46, LLC - 00000057DCHF00477864","","","3/8/2023",NA,"3/8/2023"
"4658","DTF - Downtown Flower","DTF Premium Preroll 1g - A La Oreoz","A La Oreoz","ALO-221227.0001","38056","12/27/2022","https://lims.tagleaf.com/coas/jYNoz8tL8uqMPH3fIXTT1J3DRMSqLDRTdT2EOjvd6lH0JL02we","Forever 46, LLC - 00000057DCHF00477864","","","3/28/2023","3/27/2023",NA
"4659","DTF - Downtown Flower","DTF Premium Preroll 1g - A La Oreoz","A La Oreoz","ALO-221227.0001","38056","12/27/2022","https://lims.tagleaf.com/coas/jYNoz8tL8uqMPH3fIXTT1J3DRMSqLDRTdT2EOjvd6lH0JL02we","Forever 46, LLC - 00000057DCHF00477864","","","3/28/2023","",NA
"4660","DTF - Downtown Flower","DTF Premium Preroll 1g - A La Oreoz","A La Oreoz","ALO-221227.0001","38056","12/27/2022","https://lims.tagleaf.com/coas/jYNoz8tL8uqMPH3fIXTT1J3DRMSqLDRTdT2EOjvd6lH0JL02we","Forever 46, LLC - 00000057DCHF00477864","","","3/28/2023","3/28/2023",NA
"4661","HI KETO","Hi Keto Chocolate Chip Cookies 100mg RSO- Indica","Indica Blend","221227-002-HIK","52572","12/27/2022","https://orders.confidentcannabis.com/report/public/pdf/cc8218b2-aa6d-4a53-8ca5-caafe7775252","Forever 46, LLC - 00000057DCHF00477864","","",NA,NA,"11/8/2023"
"4662","iLAVA","Molecular Live Resin Cartridge 500mg - Strawberry Cooler","Strawberry Cooler","230131-011","41884","12/27/2022","https://lims.tagleaf.com/coas/OvEIXM759KFnChmLZi8Raue8JK5W4wh1FEXeY2t01e5TDxHYZX","Forever 46, LLC - 00000057DCHF00477864","","","5/22/2023",NA,"5/22/2023"
